total_bill,z-score,within_1sd,within_2sd,within_3sd
16.99,-0.31406574275923654,True,True,True
10.34,-1.0610543154877747,False,True,True
21.01,0.13749727413831636,True,True,True
23.68,0.4374159943165413,True,True,True
24.59,0.5396354832162361,True,True,True
25.29,0.6182658592929242,True,True,True
8.77,-1.2374110161169185,False,True,True
26.88,0.7968691420956876,True,True,True
15.04,-0.5331075046871537,True,True,True
14.78,-0.5623130729442093,True,True,True
10.27,-1.0689173530954437,False,True,True
35.26,1.7381870728423268,False,True,True
15.42,-0.49042244338838004,True,True,True
18.43,-0.15231182625862055,True,True,True
14.83,-0.5566966175101601,True,True,True
21.58,0.2015248660864764,True,True,True
10.33,-1.0621776065745845,False,True,True
16.29,-0.3926961188359247,True,True,True
16.97,-0.31631232493285616,True,True,True
20.65,0.09705879501316206,True,True,True
17.92,-0.20959967168592178,True,True,True
20.29,0.05662031588800816,True,True,True
15.77,-0.45110725535003593,True,True,True
39.42,2.2054761649552175,False,False,True
19.82,0.003825634807946176,True,True,True
17.81,-0.22195587364083028,True,True,True
13.37,-0.7206971161843957,True,True,True
12.69,-0.7970809100874643,True,True,True
21.7,0.21500435912819452,True,True,True
19.65,-0.015270313667821162,True,True,True
9.55,-1.1497943113457514,False,True,True
18.35,-0.16129815495309902,True,True,True
15.06,-0.5308609225135339,True,True,True
20.69,0.10155195936040169,True,True,True
17.78,-0.2253257469012595,True,True,True
24.06,0.48010105561531485,True,True,True
16.31,-0.3904495366623051,True,True,True
16.93,-0.3208054892800954,True,True,True
18.69,-0.12310625800156474,True,True,True
31.27,1.2899939292052038,False,True,True
16.04,-0.4207783960061705,True,True,True
17.46,-0.26127106167917413,True,True,True
13.94,-0.6566695242362353,True,True,True
9.68,-1.1351915272172237,False,True,True
30.4,1.1922676046527485,False,True,True
18.29,-0.16803790147395828,True,True,True
22.23,0.27453878672911575,True,True,True
32.4,1.416925822014715,False,True,True
28.55,0.9844587535929297,True,True,True
18.04,-0.19612017864420409,True,True,True
12.54,-0.8139302763896118,True,True,True
10.29,-1.066670770921824,False,True,True
34.81,1.6876389739358848,False,True,True
9.94,-1.1059859589601682,False,True,True
25.56,0.6485947186367896,True,True,True
19.49,-0.033242971056778495,True,True,True
38.01,2.0470921217150306,False,False,True
26.41,0.7440744610156256,True,True,True
11.24,-0.9599581176748898,True,True,True
48.27,3.199588776781919,False,False,False
20.29,0.05662031588800816,True,True,True
13.81,-0.6712723083647629,True,True,True
11.02,-0.9846705215847062,True,True,True
18.29,-0.16803790147395828,True,True,True
17.59,-0.24666827755064644,True,True,True
20.08,0.03303120306500159,True,True,True
16.45,-0.3747234614469674,True,True,True
3.07,-1.8776869355985226,False,True,True
20.23,0.04988056936714931,True,True,True
15.01,-0.5364773779475831,True,True,True
12.02,-0.872341412903723,True,True,True
17.07,-0.3050794140647577,True,True,True
26.86,0.794622559922068,True,True,True
25.28,0.6171425682061147,True,True,True
14.73,-0.5679295283782584,True,True,True
10.51,-1.0419583670120076,False,True,True
17.92,-0.20959967168592178,True,True,True
27.2,0.8328144568736022,True,True,True
22.76,0.334073214330037,True,True,True
17.29,-0.2803670101549415,True,True,True
19.44,-0.03885942649082733,True,True,True
16.66,-0.3511343486239608,True,True,True
10.07,-1.0913831748316403,False,True,True
32.68,1.4483779724453902,False,True,True
15.98,-0.42751814252702935,True,True,True
34.83,1.689885556109504,False,True,True
13.03,-0.7588890131359299,True,True,True
18.28,-0.1691611925607679,True,True,True
24.71,0.5531149762579541,True,True,True
21.16,0.15434664044046367,True,True,True
28.97,1.0316369792389424,False,True,True
22.49,0.30374435498617114,True,True,True
5.75,-1.5766449243334877,False,True,True
16.32,-0.3893262455754951,True,True,True
22.75,0.332949923243227,True,True,True
40.17,2.289722996465955,False,False,True
27.28,0.841800785568081,True,True,True
12.03,-0.8712181218169132,True,True,True
21.01,0.13749727413831636,True,True,True
12.46,-0.8229166050840903,True,True,True
11.35,-0.9476019157199818,True,True,True
15.38,-0.49491560773561927,True,True,True
44.3,2.753642215318415,False,False,True
22.42,0.2958813173785027,True,True,True
20.92,0.12738765435702787,True,True,True
15.36,-0.49716218990923905,True,True,True
20.49,0.07908613762420473,True,True,True
25.21,0.6092795305984458,True,True,True
18.24,-0.1736543569080075,True,True,True
14.31,-0.6151077540242713,True,True,True
14.0,-0.6499297777153762,True,True,True
7.25,-1.4081512613120128,False,True,True
38.07,2.05383186823589,False,False,True
23.95,0.46774485366040675,True,True,True
25.71,0.6654440849389374,True,True,True
17.31,-0.27812042798132186,True,True,True
29.93,1.1394729235726864,False,True,True
10.65,-1.02623229179667,False,True,True
12.43,-0.8262864783445198,True,True,True
24.08,0.48234763778893447,True,True,True
11.69,-0.9094100187684475,True,True,True
13.42,-0.7150806607503465,True,True,True
14.26,-0.6207242094583205,True,True,True
15.95,-0.430888015787459,True,True,True
12.48,-0.8206700229104706,True,True,True
29.8,1.1248701394441587,False,True,True
8.52,-1.2654932932871643,False,True,True
14.52,-0.591518641201265,True,True,True
11.38,-0.9442320424595522,True,True,True
22.82,0.34081296085089585,True,True,True
19.08,-0.07929790561598163,True,True,True
20.27,0.05437373371438854,True,True,True
11.17,-0.9678211552825587,True,True,True
12.26,-0.845382426820287,True,True,True
18.26,-0.1714077747343875,True,True,True
8.51,-1.266616584373974,False,True,True
10.33,-1.0621776065745845,False,True,True
14.15,-0.6330804114132287,True,True,True
16.0,-0.42527156035340974,True,True,True
13.16,-0.744286229007402,True,True,True
17.47,-0.26014777059236455,True,True,True
34.3,1.6303511285085828,False,True,True
41.19,2.404298687320557,False,False,True
27.05,0.8159650905714548,True,True,True
16.43,-0.376970043620587,True,True,True
8.35,-1.2845892417629314,False,True,True
18.64,-0.12872271343561398,True,True,True
11.87,-0.8891907792058705,True,True,True
9.78,-1.1239586163491255,False,True,True
7.51,-1.3789456930549573,False,True,True
14.07,-0.6420667401077074,True,True,True
13.13,-0.7476561022678315,True,True,True
17.26,-0.28373688341537073,True,True,True
24.55,0.5351423188689969,True,True,True
19.77,-0.0017908206261030644,True,True,True
29.85,1.130486594878208,False,True,True
48.17,3.1883558659138207,False,False,False
25.0,0.5856904177754392,True,True,True
13.39,-0.7184505340107759,True,True,True
16.49,-0.37023029709972816,True,True,True
21.5,0.19253853739199794,True,True,True
12.66,-0.8004507833478937,True,True,True
16.21,-0.40168244753040316,True,True,True
13.81,-0.6712723083647629,True,True,True
17.51,-0.2556546062451249,True,True,True
24.52,0.5317724456085672,True,True,True
20.76,0.10941499696807054,True,True,True
31.71,1.3394187370248367,False,True,True
10.59,-1.032972038317529,False,True,True
10.63,-1.0284788739702895,False,True,True
50.81,3.484904712831616,False,False,False
15.81,-0.4466140910027965,True,True,True
7.25,-1.4081512613120128,False,True,True
31.85,1.3551448122401744,False,True,True
16.82,-0.3331616912350035,True,True,True
32.9,1.4730903763552066,False,True,True
17.89,-0.2129695449463514,True,True,True
14.48,-0.5960118055485042,True,True,True
9.6,-1.1441778559117024,False,True,True
34.63,1.667419734373308,False,True,True
34.65,1.6696663165469272,False,True,True
23.33,0.39810080627819705,True,True,True
45.35,2.871587779433448,False,False,True
23.17,0.3801281488892401,True,True,True
40.55,2.3324080577647277,False,False,True
20.69,0.10155195936040169,True,True,True
20.9,0.12514107218340786,True,True,True
30.46,1.1990073511736077,False,True,True
18.15,-0.18376397668929598,True,True,True
23.1,0.37226511128157125,True,True,True
15.69,-0.4600935840445146,True,True,True
19.81,0.0027023437211361684,True,True,True
28.44,0.9721025516380216,True,True,True
15.48,-0.48368269686752097,True,True,True
16.58,-0.36012067731843966,True,True,True
7.56,-1.3733292376209083,False,True,True
10.34,-1.0610543154877747,False,True,True
43.11,2.619970575988045,False,False,True
13.0,-0.7622588863963594,True,True,True
13.51,-0.7049710409690579,True,True,True
18.71,-0.12085967582794513,True,True,True
12.74,-0.791464454653415,True,True,True
13.0,-0.7622588863963594,True,True,True
16.4,-0.3803399168810166,True,True,True
20.53,0.08357930197144435,True,True,True
16.47,-0.37247687927334777,True,True,True
26.59,0.7642937005782026,True,True,True
38.73,2.1279690799653386,False,False,True
24.27,0.5036901684383214,True,True,True
12.76,-0.7892178724797954,True,True,True
30.06,1.154075707701214,False,True,True
25.89,0.6856633245015143,True,True,True
48.33,3.2063285233027776,False,False,False
13.27,-0.731930027052494,True,True,True
28.17,0.9417736922941562,True,True,True
12.9,-0.7734917972644577,True,True,True
